order_id,customer_id,order_date,region,gross_amount,tax_rate,discount_code,order_status
ORD-1000,5059,2025-09-23T00:00:00,,143.53,0.08,,completed
ORD-1001,5436,2025-04-23,North America,191.05,0.08,,cancelled
ORD-1002,5237,2025-03-30,North America,239.45,0.08,SAVE10,cancelled
ORD-1003,5335,2025-11-14,LATAM,195.71,0.08,,pending
ORD-1004,5227,2025-05-17,North America,313.51,0.08,SAVE10,pending
ORD-1005,5004,2026-01-01,North America,421.72,0.08,WELCOME,completed
ORD-1006,5152,2025-03-22,EMEA,130.25,0.08,SAVE10,cancelled
ORD-1007,5261,2025-11-28,,136.86,0.08,,completed
ORD-1008,5198,2025-02-21,,265.85,0.08,,cancelled
ORD-1009,5318,2025-09-27,APAC,61.28,0.08,,pending
ORD-1010,5342,2025-08-05T00:00:00,LATAM,227.08,0.08,,returned
ORD-1011,5292,2025-05-21,APAC,155.99,0.08,SAVE10,completed
ORD-1012,5030,2025-05-26,North America,316.55,0.08,,completed
ORD-1013,5325,2025-02-25,North America,148.17,0.08,SAVE10,pending
ORD-1014,5159,2025-05-12,APAC,280.32,0.08,,pending
ORD-1015,5141,2025-02-05,EMEA,288.94,0.08,,pending
ORD-1016,5225,2025-03-13,LATAM,30.74,0.08,,pending
ORD-1017,5418,2025-07-02,APAC,119.93,0.08,,returned
ORD-1018,5015,2025-10-25,EMEA,296.69,0.08,SAVE10,completed
ORD-1019,5254,2025-06-27,LATAM,446.8,0.08,SAVE10,cancelled
ORD-1020,5132,2025-06-05T00:00:00,,74.92,0.08,SAVE10,returned
ORD-1021,5093,2025-07-01,APAC,437.16,0.08,,returned
ORD-1022,5179,2025-05-12,,452.19,0.08,,cancelled
ORD-1023,5450,2025-05-07,LATAM,231.18,0.08,,pending
ORD-1024,5158,2025-09-06,EMEA,460.49,0.08,,pending
ORD-1025,5135,2025-11-05,APAC,287.69,0.08,WELCOME,pending
ORD-1026,5015,2025-02-12,North America,364.79,0.08,,pending
ORD-1027,5403,2025-03-28,LATAM,32.31,0.08,,pending
ORD-1028,5427,2025-12-03,,486.68,0.08,,pending
ORD-1029,5410,2025-09-03,North America,85.06,0.08,,pending
ORD-1030,5204,2025-05-27T00:00:00,APAC,68.03,0.08,SAVE10,pending
ORD-1031,5226,2025-07-10,APAC,211.93,0.08,,completed
ORD-1032,5319,2025-11-04,North America,490.78,0.08,,pending
ORD-1033,5445,2025-08-15,North America,330.52,0.08,,pending
ORD-1034,5478,2025-01-01,North America,462.44,0.08,,completed
ORD-1035,5173,2025-10-13,LATAM,347.71,0.08,,returned
ORD-1036,5392,2025-05-12,North America,32.09,0.08,,pending
ORD-1037,5352,2025-02-10,,264.15,0.08,SAVE10,returned
ORD-1038,5050,2025-05-22,EMEA,167.65,0.08,SAVE10,completed
ORD-1039,5272,2025-09-27,,58.25,0.08,,pending
